Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Taruna Nusantara Motor,Dian Automach,Auto,Franchise,50-250jt,Jl.Raya Larangan Barat Brebes,0281-621505,,,,
Spahelm,CV Yeskarya Indonesia,Otomotif,BO,"21,5jt",Jl.Bougenville Raya No.55 Perum Bumi Raya Tembaga Bekasi,021-37351700,,,,
Singkong Keju Katrocker,PT Karunia,Makanan,Franchise,10-20jt,Jl. Pahlawan No.8A Banjarmasin,0511-7640737,,,,
Kedai Digital,CV Kedai Kreasi Digital,Digital Printing,BO,n/a,Jl.Gambir NO.6 Deresan Yogyakarta,0274-7480080,,,,
Speed Mandarin,PT I Tutor Net Indonesia,Pendidikan,Lisensi,50-100jt,Jl.Raya Duri Kosambi 168H Cengkareng Jakarta,021-5453235/5453236,,,,
Good Tea – Teh Hijau & Melati,CV Putra Thienshabian,tea,Franchise,"4,5-8,5jt",Jl. Meruyung Raya No.35 Limo - Depok,021-77881463,,,,
Miss Strawberry,PT ANVIC Multi Food,Minuman,Kemitraan,10-18jt,Jl. Kelingkip Permai Blok C No.6 Jakarta,021-92666888,,,,
Apotek Riani,PT Centro Global Asia,Apotek,Franchise,150-450jt,Jl.Putri Tunggal No.5 Cibubur,021-87755059,,,,
Yomart,PT Mitra Yomart Sejati,Retail Minimarket,Franchise,150-450jt,Jl.Jakarta 53 Bandung,022-7230927,,,,
Mie Ayam Abadi Serpong,Mie Ayam Abadi Serpong,F&B,kemitraan,n/a,Jl. Raya Serpong No.5 Jakarta,021-5375935,,,,
Es Madu Afia,Es Madu Afia,Minuman,Franchise,"5,6-5,9jt",Jl.KH Agus Salim No.32 Lawean - Solo,0271-7044839,,,,
Data Print,PT Sumber Harapan Abadi,Refill Tinta,Franchise,n/a,Jl.Garuda No.12 Kemayoran Jakarta,021-4260111,,,,
Siomay Menteng,Siomay Menteng,F&B,BO,5-6jt,Pertokoan Pulo Mas Blok 5 No.3 Jl. Perintis Kemerdekaan Jaktim,021-32324267,,,,
My Bento,CV My Bento,F&B,BO,22-35jt,Jl. H Ung RT007/03 No.?23 Kemayoran Jakarta Pusat,021-4224703,,,,
Sop Ikan Batam,PT Sop Ikan Batam,F&B,Franchise,100jt,Jl. Boulevard Raya Ruko Incoval Blok B No.7-8 lt.4,021-45851072,,,,
Eco Printlution,PT EPL,Printing,BO,n/a,Jl.Ngagel Madya I No.21,031-5016088,,,,
Sweets & Sour Shaved Ice,Sweets & Sour Shaved Ice,F&B,Franchise,25-100jt,Komp. Green Garden H2 No.11 Jakarta,021-5822076,,,,
Cozi & Friends,Cozi & Friends,F&B,Franchise,30-150jt,Mall Ciputra Lt.IV Unit 38-39 Jl. Arteri S. Parman Tanjung Duren Utara Grogol - Jakarta,021-5631781,,,,
Soto Gebrak Cak Anton,Soto Gebrak Cak Anton,F&B,Franchise,n/a,Taman Setiabudi Depan SMA 3 Jakarta,021-5251975,,,,
Ice Berry,PT Izzati Kita Indonesia,Juice,Franchise,5jt,Perum Bojong Depok Baru II Blok CU No.3 Cibinong,021-8756041,,,,
Terang Bulan Mini Hallaland,UKM koe,Makanan,BO,4.5-18jt,Jl. Sidoarjo Briasangrana No.6,031-71170599/031-83434951,,,,
Krisana Tea House,Krisana Tea House,F&B,Franchise,"5,5-15jt",Jl.GM Situt No.58 Singkawang Kalimantan Barat,0562-631497,,,,
De-Excellence,De-Excellence,Bimbel,BO,400jt,Jl.Sangkuriang No.79 Cimahi,022-6626911,,,,
Mindlab Indonesia,Rammel Indo,Jasa Pendidikan,Franchise,230jt,Jl.Arteri Pondok Indah No.8G Sebelah Bank Ekonomi,021-7258151,,,,
